in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-3.404E+00,-3.235E-03,1.000E+00
2.00E+00,1.047E+01,-3.403E+00,-1.864E-02,1.000E+00
3.00E+00,1.096E+01,-3.403E+00,1.535E-02,1.000E+00
4.00E+00,1.148E+01,-3.403E+00,-1.936E-02,1.000E+00
5.00E+00,1.202E+01,-3.401E+00,3.147E-03,1.000E+00
6.00E+00,1.259E+01,-3.405E+00,-1.533E-02,1.000E+00
7.00E+00,1.318E+01,-3.403E+00,-9.815E-03,1.000E+00
8.00E+00,1.380E+01,-3.404E+00,-1.247E-02,1.000E+00
9.00E+00,1.445E+01,-3.406E+00,-1.901E-02,1.000E+00
1.00E+01,1.514E+01,-3.403E+00,-2.369E-03,1.000E+00
1.10E+01,1.585E+01,-3.401E+00,-1.662E-02,1.000E+00
1.20E+01,1.660E+01,-3.405E+00,-3.502E-03,1.000E+00
1.30E+01,1.738E+01,-3.404E+00,-1.160E-02,1.000E+00
1.40E+01,1.820E+01,-3.403E+00,-8.484E-03,1.000E+00
1.50E+01,1.905E+01,-3.406E+00,-5.226E-04,1.000E+00
1.60E+01,1.995E+01,-3.405E+00,-1.030E-03,1.000E+00
1.70E+01,2.089E+01,-3.405E+00,-2.010E-03,1.000E+00
1.80E+01,2.188E+01,-3.404E+00,-3.052E-04,1.000E+00
1.90E+01,2.291E+01,-3.403E+00,-7.896E-03,1.000E+00
2.00E+01,2.399E+01,-3.405E+00,-1.276E-02,1.000E+00
2.10E+01,2.512E+01,-3.406E+00,-4.883E-04,1.000E+00
2.20E+01,2.630E+01,-3.403E+00,-1.804E-02,1.000E+00
2.30E+01,2.754E+01,-3.401E+00,2.529E-03,1.000E+00
2.40E+01,2.884E+01,-3.402E+00,8.202E-03,1.000E+00
2.50E+01,3.020E+01,-3.406E+00,-1.289E-03,1.000E+00
2.60E+01,3.162E+01,-3.403E+00,-8.575E-03,1.000E+00
2.70E+01,3.311E+01,-3.402E+00,6.485E-03,1.000E+00
2.80E+01,3.467E+01,-3.404E+00,1.625E-02,1.000E+00
2.90E+01,3.631E+01,-3.405E+00,-2.489E-02,1.000E+00
3.00E+01,3.802E+01,-3.407E+00,1.379E-02,1.000E+00
3.10E+01,3.981E+01,-3.408E+00,-2.784E-02,1.000E+00
3.20E+01,4.169E+01,-3.395E+00,-1.315E-02,1.000E+00
3.30E+01,4.365E+01,-3.395E+00,-4.871E-02,1.000E+00
3.40E+01,4.571E+01,-3.393E+00,2.014E-03,1.000E+00
3.50E+01,4.786E+01,-3.404E+00,-7.635E-02,1.000E+00
3.60E+01,5.012E+01,-3.410E+00,-4.031E-02,1.000E+00
3.70E+01,5.248E+01,-3.409E+00,5.527E-02,1.000E+00
3.80E+01,5.495E+01,-3.398E+00,-3.361E-02,1.000E+00
3.90E+01,5.754E+01,-3.399E+00,2.502E-02,1.000E+00
4.00E+01,6.026E+01,-3.409E+00,8.156E-03,1.000E+00
4.10E+01,6.310E+01,-3.400E+00,3.226E-02,1.000E+00
4.20E+01,6.607E+01,-3.398E+00,-7.431E-03,1.000E+00
4.30E+01,6.918E+01,-3.401E+00,1.924E-02,1.000E+00
4.40E+01,7.244E+01,-3.407E+00,3.339E-02,1.000E+00
4.50E+01,7.586E+01,-3.404E+00,-2.940E-02,1.000E+00
4.60E+01,7.943E+01,-3.400E+00,-1.741E-02,1.000E+00
4.70E+01,8.318E+01,-3.405E+00,-2.031E-02,1.000E+00
4.80E+01,8.710E+01,-3.403E+00,-4.013E-03,1.000E+00
4.90E+01,9.120E+01,-3.400E+00,-1.231E-02,1.000E+00
5.00E+01,9.550E+01,-3.403E+00,-1.041E-02,1.000E+00
5.10E+01,1.000E+02,-3.405E+00,-7.431E-03,1.000E+00
5.20E+01,1.047E+02,-3.403E+00,-2.171E-02,1.000E+00
5.30E+01,1.096E+02,-3.408E+00,-2.966E-02,1.000E+00
5.40E+01,1.148E+02,-3.405E+00,-5.264E-04,1.000E+00
5.50E+01,1.202E+02,-3.403E+00,-6.866E-04,1.000E+00
