freq,real,imag
10.0,761.7577821490984,-1085.7452270734163
10.23,734.2841849744372,-1066.6151902973695
10.47,741.1507110127175,-1051.9713775163705
10.72,707.3394552435839,-1040.5993021993545
10.96,709.4503121118139,-1005.8814224553197
11.22,693.9109898538378,-1002.5272730998364
11.48,711.0935250734889,-979.5500632486619
11.75,684.8902568073764,-972.861952793133
12.02,689.1498511524072,-946.2378414812906
12.300000000000002,659.8053123058778,-946.7527875671657
12.59,661.0319704369738,-929.0096558782369
12.880000000000003,665.6301794777388,-904.373163310312
13.18,650.2169508464802,-894.1198553249335
13.490000000000002,643.4313868911474,-882.0100330726058
13.8,637.0500277703367,-863.9959327647229
14.129999999999999,629.2409539194342,-852.3680616800858
14.450000000000001,619.8762201600888,-841.2997013579422
14.79,608.9555757006522,-830.9173994895442
15.140000000000002,619.3449026631919,-819.000707478958
15.490000000000002,609.4922457474818,-808.9564843980478
15.85,593.9162700110501,-795.5004055321826
16.22,587.5674685605832,-790.5970030499998
16.6,584.4138428934062,-767.1334776696481
16.98,573.8853751578979,-758.8047886069855
17.38,571.9662726359096,-752.0394150291404
17.78,566.9240546619344,-735.47826214328
18.2,554.1882074395087,-726.993391151616
18.62,551.8361622107922,-715.4015369626721
19.05,541.295619198023,-707.6747395573105
19.5,541.0551103404376,-687.3738384868989
19.95,533.1098937831209,-680.2227206259042
20.42,527.0853582826767,-676.373518699744
20.89,522.3221778611883,-661.9143500390907
21.38,516.4778975893734,-654.197078670129
21.88,510.68714024820554,-645.8204579653608
22.39,504.5540487246342,-635.4964845771341
22.91,497.7109044674105,-633.1427703323737
23.440000000000005,497.1492395880051,-618.253037000566
23.99,487.68120713402465,-609.9376969121632
24.55,484.5246723299486,-601.7011068158808
25.12,478.95914672816366,-594.6666806402495
25.7,471.04323752611344,-585.5986394422393
26.3,468.5543707842767,-574.9665960487412
26.920000000000005,459.132132889897,-567.4420016154438
27.54,453.7708068377174,-565.3830052504659
28.18,451.4593110667992,-556.1736393325165
28.840000000000003,446.3157226509854,-552.625439357431
29.51,435.7605039742467,-541.8708202827225
30.2,432.8643034517666,-530.1375300317194
30.9,429.9220196473633,-526.0806441147382
31.619999999999997,428.37985154499364,-519.8279960691851
32.36,420.7979451390151,-510.62943852212845
33.11,415.26540521675116,-503.6717056444661
33.88,408.14230408597,-498.0756750812522
34.67,404.2068518475886,-488.5051235837411
35.48,398.91409755075347,-485.64424386140587
36.31,393.50996823209033,-479.66034835198036
37.15,391.4155328411997,-475.9200596857581
38.02,384.57165643501486,-466.9570400762291
38.9,380.7389167541871,-460.7565766033586
39.81,374.7098580831286,-451.479491838636
40.74,373.667589565298,-450.4477367292672
41.69,364.7257104715321,-439.33910075044327
42.66,362.8591398144236,-436.79643608434645
43.65,359.785458365848,-430.62855991656915
44.669999999999995,350.47351399732213,-421.8221726697941
45.709999999999994,352.19534904740794,-421.7423646715109
46.77,347.355242308369,-418.6213220356326
47.86,346.33745677756974,-409.12002454107215
48.98,344.13822489840277,-405.267537832591
50.12,332.6658339369072,-403.2287742000688
51.29,324.74986586712464,-393.0706349146375
52.47999999999999,323.6455783453495,-391.49775207236445
53.7,320.6203464744151,-383.2733502452545
54.95,318.9801539874755,-380.1855608465789
56.23,314.041956144229,-373.8601167406997
57.54,308.1555570026693,-367.8306821512398
58.88,305.8433587685854,-361.46156589886436
60.26,300.9442490603548,-362.25089783058417
61.66,296.01677981234656,-355.120341913784
63.1,290.7577149359362,-349.24614421341914
64.57,289.45530308762386,-346.0210045135448
66.07,281.97433689630066,-339.54606724576337
67.61,283.6754212496838,-338.0448739644176
69.18,274.8260554695314,-329.74854819499643
70.79,275.85312145265294,-326.4950595826958
72.44,270.3482981736983,-323.59867245026743
74.13,265.8386852921004,-318.155158070908
75.86,259.7298761076947,-313.1934994187526
77.62,258.6111613063258,-307.99109877002275
79.43,255.2219389980325,-305.10967212819463
81.28,252.76830729034265,-300.2459027702837
83.18,249.1270458885152,-296.377992643007
85.11,244.9940843203246,-289.70491436303405
87.1,243.55270434033523,-288.5286234063557
89.13,239.4745283478575,-285.7251779507476
91.2,236.43941753168207,-281.57620457940175
93.33,234.92834286086858,-278.16812708929484
95.5,229.5519570173084,-273.25159212894033
97.72,227.56511069842978,-270.8081551220131
100.0,224.3594878941582,-265.41107711691876
102.3,220.58989701018322,-261.8853144843081
104.7,219.06460694359797,-259.33748684189214
107.2,216.16657968515347,-254.58834506974503
109.59999999999998,212.96135324636478,-250.37585343097072
112.20000000000002,209.54513154016433,-248.15780500157382
114.8,206.33382678067557,-243.02384801130077
117.5,203.8130464124271,-240.9547634569134
120.2,202.12588023464653,-238.61956227202947
123.0,199.10932241624351,-233.53851544052688
125.9,196.12253151109056,-229.53989123845534
128.8,193.95542446815531,-226.57370173941607
131.8,192.09080018777505,-224.3804637035718
134.9,189.17176288677697,-220.48598821809892
138.0,186.24630719275405,-217.8561142252373
141.3,184.0532162349429,-215.23089114579335
